fold_id,epoch,train_loss,val_loss
0,1,0.6928769257845799,0.692590861372609
0,2,0.692241215903456,0.6924647408756403
0,3,0.6919921603650678,0.6924946835783662
0,4,0.6918675784248015,0.6926769135428257
0,5,0.6915653051592369,0.6924954877525079
0,6,0.691261157146475,0.6926347105229487
0,7,0.6912087518207276,0.692709313715742
0,8,0.6908658476165646,0.6929707533674814
0,9,0.690746428558181,0.6925078539249024
0,10,0.6905660299965031,0.6931912452796769
0,11,0.6900602651564456,0.6928058315495975
0,12,0.6900258047804648,0.6937915474339261
0,13,0.6897827202443918,0.6933715597527926
0,14,0.6896144645648766,0.6926064077622253
0,15,0.6893293152856563,0.6930191210710286
0,16,0.6889904912005472,0.6934220699664674
0,17,0.6887925260633395,0.6940631833884234
0,18,0.68833611847946,0.6953190144945364
0,19,0.6882599210212244,0.6939089448074174
0,20,0.6876096215037352,0.6936445884365853
0,21,0.6874116063117981,0.6939174917226281
0,22,0.6870413020829469,0.6934425925296512
0,23,0.6862771244338863,0.6950431010110782
0,24,0.6863216102452568,0.6972209837267308
0,25,0.6850666509148824,0.6964781329931458
0,26,0.6845465384794204,0.6941585970706627
0,27,0.6840241505296191,0.6991549893155125
0,28,0.6829202837048315,0.6988308051896226
0,29,0.6825960828454455,0.700892256583021
0,30,0.681381607582556,0.6982012834053873
0,31,0.6808596786873117,0.7002978354203896
0,32,0.6799978758748724,0.6973513182395142
0,33,0.6793374452143084,0.7002128662307405
0,34,0.677788451560953,0.6994161195442324
0,35,0.6762528004567268,0.7042920784872087
0,36,0.6765439750739882,0.7003039935898911
0,37,0.6755353963177507,0.6993137604551889
0,38,0.6739715222495696,0.7005449543233777
0,39,0.6735036755135047,0.7072204051773405
0,40,0.671760487622319,0.7148915297998105
0,41,0.670665196950923,0.7041521329697364
0,42,0.6691952084309488,0.7044543366614586
0,43,0.6683824566187779,0.7092667567273958
0,44,0.6666498865870482,0.7104348488192741
0,45,0.6658074572600053,0.7094429552229375
0,46,0.6636295885012294,0.7126810606060132
0,47,0.6625803765012415,0.7137735495801831
0,48,0.6620893205068388,0.7116409817028567
0,49,0.6594876330860412,0.7120716011589342
0,50,0.6587548861846081,0.7186877646081434
0,51,0.656789594263003,0.7123259462294032
0,52,0.65541611850591,0.7218530989084088
0,53,0.6549801714512524,0.722364479075364
0,54,0.6513503272889068,0.7281268877409847
0,55,0.6512344766058316,0.7204016118101735
0,56,0.6487599433456337,0.7223727240588496
0,57,0.6483479125723655,0.7358563692191911
0,58,0.6441621648672536,0.7243643504022901
0,59,0.6436943928839752,0.728630720591936
0,60,0.642578295910556,0.7238675368939592
0,61,0.6409645304495458,0.7396675677247386
0,62,0.6394268689234612,0.7274407597838856
0,63,0.6364116049603205,0.737846514892057
0,64,0.6354699213860443,0.7405607403953218
0,65,0.6346183096506319,0.7354905628115753
0,66,0.63332138041765,0.733192678357734
0,67,0.6304118284204389,0.7452877105259504
0,68,0.6296882138726461,0.744580159421827
0,69,0.62592723751595,0.7465358415588004
0,70,0.6238832276170425,0.7492728080254435
0,71,0.6234269448406788,0.7475386587648444
0,72,0.6203973392096672,0.7495696114712074
0,73,0.6196618771684762,0.7543748288206715
0,74,0.6171051741304977,0.7680496970812479
0,75,0.6156777597922647,0.7515665191770251
0,76,0.6146587900693904,0.7474375758014742
0,77,0.611452137238413,0.7678221969005189
0,78,0.6109616713629243,0.7602690184702638
0,79,0.6092943664413789,0.7584142199630945
0,80,0.6064939386936841,0.7685773525733114
0,81,0.603473001092837,0.7634744741877572
0,82,0.6032936872698326,0.7601766833842126
0,83,0.6000827162305294,0.7663230462803867
0,84,0.5989502408227868,0.7681584387529091
0,85,0.5968235783814066,0.7722816581283111
0,86,0.5966458284393859,0.7698539078561335
0,87,0.5942516547540275,0.779225925278794
0,88,0.5896859244747057,0.7817054003314242
0,89,0.589304134990629,0.7727271738599558
0,90,0.5879410376864902,0.7782879562977233
0,91,0.588713971949414,0.7798152093678876
0,92,0.5861233436600279,0.8000775328099402
0,93,0.5833003356311861,0.7784040348777355
0,94,0.581854861744201,0.8011910703664269
0,95,0.578459966907185,0.7957613116405049
0,96,0.5772916674613953,0.8037312737579554
0,97,0.5758131933475726,0.8044440039520055
0,98,0.5747906246237992,0.8239486569263896
0,99,0.5709322272743309,0.7901209244311181
0,100,0.5708250139958292,0.8053195108481443
1,1,0.6930077130144293,0.6924935608613686
1,2,0.6923699007875006,0.6925187876315716
1,3,0.6922168799011503,0.692727559251212
1,4,0.6920629186406937,0.6928009625341072
1,5,0.6917802211995295,0.6926662062035233
1,6,0.6916305437560909,0.69262888197039
1,7,0.6915477601293033,0.6927054768703023
1,8,0.6913110943865185,0.6926504389835837
1,9,0.6912067141743075,0.6930633640028739
1,10,0.6908548083515536,0.693405112607883
1,11,0.6907313649976221,0.6942106749190659
1,12,0.6906866782624531,0.6933804173938564
1,13,0.690272493631715,0.6930976874841367
1,14,0.6901809574815524,0.6951966451816871
1,15,0.6898822528271635,0.6944441967974595
1,16,0.6898997158386819,0.6937524070505237
1,17,0.6895933973887736,0.6951792315055764
1,18,0.6891265826776993,0.6932457284849198
1,19,0.6890898649029167,0.6944475708112039
1,20,0.6886885724448633,0.6932721828502384
1,21,0.6883505747009572,0.6934810020233113
1,22,0.6879527427605032,0.6941105892749432
1,23,0.6875923001733365,0.6959632583003227
1,24,0.6870842725449029,0.6960400127973713
1,25,0.6868490465087995,0.6960239781708014
