fold_id,epoch,train_loss,val_loss
0,1,0.008509074512403458,0.00039520979690779414
0,2,0.0025700653786771,0.0007384367571729752
0,3,0.0017052847106242552,0.0006917294554619326
0,4,0.0012115853023715317,0.00025054039724636823
0,5,0.0009373607390443794,0.00015708069905586954
0,6,0.0007989240184542723,0.0000406192260318979
0,7,0.0007015223527560011,0.000033617191648873915
0,8,0.000647385633783415,0.00005659870334461125
1,1,0.006236546047148295,0.0004026042653195974
1,2,0.0015259969004546292,0.0000885310170512336
1,3,0.0009616313727747183,0.00004242323161128702
1,4,0.0007224237633636221,0.00005193151244182243
1,5,0.0006009227290633135,0.00002218303072570254
1,6,0.0005223594343988225,0.000025895227534217862
1,7,0.00047166527292574756,0.000014846936513398154
1,8,0.00042371603012725245,0.000021501329885925064
2,1,0.003653050544671714,0.00015130474154526988
2,2,0.0008772844169288873,0.000037645058708019657
2,3,0.0005736916931346059,0.000033403488689348
2,4,0.0004593006370123476,0.0000204191098115795
2,5,0.000393357842694968,0.000016634256705098476
2,6,0.00035058819339610635,0.000017625901717918976
2,7,0.0003120508533902466,0.000014804307789341288
2,8,0.000287567995255813,0.000015289851237159586
3,1,0.0041133704636355534,0.00009783954737940803
3,2,0.0007809464021941976,0.000029550505536867098
3,3,0.0005041422401144005,0.0000316138213949873
3,4,0.00038951455516165453,0.00002212171764565735
3,5,0.00032822847338941167,0.0000228133388494219
3,6,0.0002841053467230214,0.000017324693746761317
3,7,0.0002512735826552243,0.000013146186979105954
3,8,0.00022490076962105164,0.000021268491359983778
4,1,0.004169927965406151,0.00017006204385931292
4,2,0.0006495629259873004,0.000026670563076752136
4,3,0.00044464145321398973,0.000018207430103858416
4,4,0.0003617243783082813,0.000020056401303413117
4,5,0.00030983956683138826,0.000019766862654554036
4,6,0.0002708225057133296,0.00001470822897115593
4,7,0.00024219282031048177,0.000022518390930296544
4,8,0.00021966605362693024,0.000024335589437719642
