[run_20251230_072725_ee4a] start
prepared_samples=data\outputs\prepared\prep_a20a8061ad54d46b\prepared_samples.parquet rows=315495 cols=10
model_type=transformer_seq params={'seq_len': 64, 'd_model': 128, 'n_heads': 4, 'n_layers': 2, 'dropout': 0.1, 'pool': 'last', 'lr': 0.0002, 'batch_size': 2048, 'epochs': 20, 'weight_decay': 0.01, 'grad_clip': 1.0, 'huber_delta': 1.0, 'loss_type': 'huber'}
eval_overrides={'wf_folds': 6}
torch_device=cuda
loss_type=huber
fold 4 epoch 6/20: train_loss=nan val_loss=nan
fold 4 epoch 7/20: train_loss=nan val_loss=nan
fold 4 epoch 8/20: train_loss=nan val_loss=nan
fold 4 epoch 9/20: train_loss=nan val_loss=nan
fold 4 epoch 10/20: train_loss=nan val_loss=nan
fold 4 epoch 11/20: train_loss=nan val_loss=nan
fold 4 epoch 12/20: train_loss=nan val_loss=nan
fold 4 epoch 13/20: train_loss=nan val_loss=nan
fold 4 epoch 14/20: train_loss=nan val_loss=nan
fold 4 epoch 15/20: train_loss=nan val_loss=nan
fold 4 epoch 16/20: train_loss=nan val_loss=nan
fold 4 epoch 17/20: train_loss=nan val_loss=nan
fold 4 epoch 18/20: train_loss=nan val_loss=nan
fold 4 epoch 19/20: train_loss=nan val_loss=nan
fold 4 epoch 20/20: train_loss=nan val_loss=nan
fold 4: {'rankic_mean': 0.010105503279155973, 'spread_mean': 0.0, 'ls_mean': 0.0, 'lo_mean': 0.00011539735804282852, 'lo_corr_market': 0.8691072485256729, 'turnover_top1': 0.0}
DONE success
